d_geo_continent,d_geo_country,d_geo_region,m_visits,m_page_views,m_page_views_per_entering_visits,m_page_views_per_visits,m_bounce_rate,m_bq,m_bounces,m_time_spent,m_time_spent_per_pages,m_entry_rate,m_entering_visits,m_time_spent_per_visits,Months,Years
Europe,France,Ile-de-France,673165,2776102,6.6228262032,4.1239547511,0.4444155593,64.1967410081,299165,82758150,33.4114876559,0.5555844407,374000,221.2784759358,january,2015
Europe,France,Provence-Alpes-Côte-d'Azur,561680,2522004,6.4713027363,4.4901082467,0.3621065375,82.9076134802,203388,104560716,45.0961763397,0.6378934625,358292,291.8310093443,january,2015
Europe,France,Corse,348000,1609230,6.4365939764,4.6242241379,0.3333649425,82.1185780862,116011,61867520,41.4323150188,0.6666350575,231989,266.6829892797,january,2015
Europe,France,Rhône-Alpes,53232,166587,5.72765567,3.1294522092,0.5495754433,63.2865845211,29255,8038915,58.5363571491,0.4504245567,23977,335.2760979272,january,2015
Europe,France,Pays de la Loire,48437,175585,5.8107453651,3.6250180647,0.4543427545,56.1659878678,22007,5452938,35.50598393,0.5456572455,26430,206.3162315551,january,2015
Europe,France,Languedoc-Roussillon,28899,99992,5.6916782155,3.4600505208,0.4756565971,67.8767384083,13746,4718261,54.7070124991,0.5243434029,15153,311.3747112783,january,2015
Europe,France,Aquitaine,21669,64427,5.4562793121,2.9732336518,0.5572015321,69.9481679544,12074,3843085,73.4071590931,0.4427984679,9595,400.5299635227,january,2015
Europe,France,Midi-Pyrénées,21259,62661,5.3289418653,2.9475045863,0.5501199492,61.6129662209,11695,3215704,63.0950829965,0.4498800508,9564,336.2300292765,january,2015
Europe,France,Nord-Pas-de-Calais,18957,50756,5.3293396869,2.6774278631,0.6125441789,56.4306137063,11612,2545808,65.0369916207,0.3874558211,7345,346.6042205582,january,2015
Europe,France,Bretagne,18390,48104,5.1275177108,2.6157694399,0.6085372485,61.7240245569,11191,2813189,76.2113347601,0.3914627515,7199,390.7749687457,january,2015
Europe,France,Centre,16745,51687,5.6299191732,3.0867124515,0.549298298,62.6213126977,9198,2515692,59.2080773847,0.450701702,7547,333.3366900755,january,2015
